Spanish,English
de,of
que,what
no,no
a,to
la,the
el,he
y,and
es,is
en,in
lo,the
un,a
por,by
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,this
mi,me
pero,but
sí,yes
si,yes
bien,good
eso,that
su,his
las,the
yo,me
del,of the
como,as
aquí,here
tu,you
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,I am
ahora,now
muy,very
ha,he has
esta,this
así,So
vamos,we go
algo,something
hay,there is
bueno,Okay
tengo,I have
él,he
cuando,when
estás,these
sé,I know
tú,you
nos,us
nada,nothing
cómo,how
este,this
o,or
he,I
ser,to be
tiene,has
puedo,may l
ella,she
quiero,I want
hacer,do
fue,was
gracias,thanks
vez,time
era,was
soy,I am
sólo,alone
todos,everyone
porque,why
son,are
tienes,you have
creo,I believe
voy,I go
sabes,you know
estaba,I was
puede,can
eres,you are
ese,that
usted,you
entonces,so
hola,Hello
solo,alone
verdad,truth
casa,House
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,oh
favor,favor
mucho,much
mí,me
quieres,you want
siento,sorry
señor,Sir
mejor,best
hace,make
has,you
decir,say
también,as well
sobre,on
dios,God
sin,without
tenemos,we have
están,is it so
ti,you
puedes,can
ver,see
hombre,man
vida,lifetime
alguien,someone
cosas,stuff
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,to be
ni,neither
poco,little bit
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,U.S
parece,It seems
gente,people
sea,be
padre,father
mira,look
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,might
hablar,talk
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,pass
fuera,outside
después,then
han,They have
desde,since
dinero,money
mundo,world
claro,Clear
momento,moment
les,them
tener,to have
estado,state
otro,other
había,there were
mañana,tomorrow
tenía,I had
madre,mother
vale,OK
lugar,place
haciendo,doing
donde,where
seguro,sure
sabe,knows
podemos,we can
tus,your
espera,wait
nuevo,new
sido,been
cosa,thing
hijo,son
allí,there
menos,less
tipo,type
amigo,friend
gran,great
nuestro,our
mujer,woman
mamá,mother
luego,then
papá,father
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
oye,hears
gusta,like
quería,wanted to
será,be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
realmente,Really
estas,these
aún,yet
mío,Own
toda,all
hacerlo,do what
cada,each
visto,viewed
importa,matters
contigo,with you
tienen,they have
hemos,we have
razón,reason
alguna,any
tanto,so much
saber,to know
hizo,did
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,problem
hora,time
cierto,true
dicho,saying
quien,who
demasiado,too
amor,love
entre,between
ve,go
pasado,past
familia,family
estos,these
policía,policeman
debería,should
ustedes,your
chica,girl
esos,those
chicos,Boys
cuenta,bill
haces,do
todavía,still
salir,go out
algún,some
vaya,go
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,sweetie
digo,I say
van,go
hombres,mens
buenas,good
somos,we are
cualquier,any
forma,shape
mientras,While
lado,side
debo,I must
sería,would
caso,case
pueden,may
pasó,He passed
primera,first
genial,great
chico,boy
supuesto,supposed
hice,I did
pues,well
adiós,goodbye
muchas,many
personas,people
señora,Ms
volver,return
esas,those
quizá,maybe
contra,against
camino,way
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,history
iba,I was going
supongo,I suppose
nueva,new
entiendo,I get it
dentro,inside
casi,almost
puerta,door
ves,you see
pasar,pass
primero,First
significa,it means
semana,week
hacia,toward
quizás,maybe
espero,I hope
juntos,together
año,year
niños,children
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,at least
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,chief
agua,Water
haré,I will do
justo,fair
horas,hours
poder,power
buenos,good ones
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
cinco,five
niño,child
ninguna,none
otros,others
cara,expensive
cuidado,watch out
bajo,low
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,end
tomar,drink
único,only
misma,same
escucha,listens
ningún,any
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,beech
equipo,team
grande,big
necesita,needs to
llegar,to get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,though
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,more
dices,say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,same
loco,crazy
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,had
juego,game
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,cree
podía,I could
debemos,we must
oportunidad,opportunity
teléfono,telephone
necesitamos,we need
final,final
listo,ready
fiesta,party
muchos,Many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,guilt
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,question
chicas,girls
eran,they were
unas,nail
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Mrs.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,food
morir,To die
conozco,I know
dame,give to me
fácil,easy
comer,eat
vino,came
lista,list
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,about
buscando,searching
tuve,I had
tampoco,neither
amo,love
joven,young
podrías,could you
sola,alone
par,pair
única,only
hacen,make
seguir,follow
dr.,dr.
simplemente,simply
dicen,say
medio,"means, medium"
puta,bitch
saben,they know
sentido,sense
hagas,you do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,high
pequeña,little
dólares,Dollars
seis,six
estaban,They were
seguridad,security
maldita,damn
estuvo,he was
preocupes,worry
palabra,word
esperando,waiting
queda,remains
oficina,office
matar,kill
iré,I will go
cama,bed
además,Besides
último,latest
oído,ear
habría,there would be
estará,will be
dio,it gave
recuerdo,memory
siendo,being
acerca,about
tenga,have
luz,light
correcto,Right
ud.,You.
demonios,got damn
nuestras,our
verte,to see you
dormir,sleep
sitio,site
ayudar,help
conseguir,get
di,gave
marido,husband
paz,peace
idiota,moron
plan,plan
dado,dice
cuanto,how much
peor,worst
murió,died
pueblo,village
vivo,alive
venido,I come
john,john
basta,Enough
paso,He passed
deberíamos,we should
música,music
diga,tell
minuto,minute
anoche,last night
llamar,to call
piensa,think
país,country
digas,you say
rey,king
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,little girl
señorita,miss
diez,ten
lleva,carries
hospital,hospital
grandes,big
maldito,damned
otras,other
llamado,called
hacemos,we make
llevar,wear
fuego,fire
aqui,here
tuvo,He had
poner,place
calle,Street
acaba,just
prueba,proof
increíble,amazing
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,Lasted
empezar,start
afuera,outside
queremos,we want
perro,dog
cielo,sky
jack,Jack
puesto,Market Stall
viaje,trip
detrás,behind
cuarto,fourth
querida,Dear
haría,would do
preguntas,questions
piensas,think
querido,Dear
libre,free
buscar,look for
cual,which
diré,I will say
suena,it sounds
jugar,to play
cambio,change
película,movie
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,President
srta.,Ms.
irme,leave
ropa,clothing
perder,to lose
vuelve,returns
agente,agent
palabras,words
información,information
raro,rare
hará,will
entiendes,You understand
éste,this
trabajando,working
tratando,trying
general,general
trato,treatment
usar,use
perfecto,perfect
derecho,law
modo,mode
ayer,Yesterday
conoces,know
demás,the rest
quieras,want
podríamos,we could
noticias,news
asesino,assassin
encontrado,found
control,control
odio,hate
frente,front
sexo,sex
decirle,tell
estaré,I will be
divertido,funny
armas,weapons
recuerdas,remember
amiga,friend
grupo,group
asunto,affair
acabo,finished
mensaje,message
encima,above
atención,Attention
diferente,different
uh,uh
cállate,shut up
daño,hurt
sucede,happens
cambiar,change
siguiente,following
sino,if not
the,the
seas,be
médico,doctor
boca,mouth
dejó,left
error,error
jamás,Never
largo,long
pena,pain
voz,voice
futuro,future
siente,feels
secreto,secret
baño,bathroom
mil,thousand
decirte,tell you
sam,sam
pensaba,thought
novia,girlfriend
propia,own
sueño,dream
haz,make
fuerza,strength
deben,should
supone,supposed
estábamos,we were
ambos,both of them
ay,Oh
estuve,I was
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,love
edad,age
darle,give him
pie,foot
negro,black
ganar,win
york,york
aire,air
lamento,lament
verlo,see him
asesinato,murder
vio,he saw
adónde,where
llegado,arrived
disculpe,sorry
s,s
cita,appointment
estaría,It would
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,deal
mente,mind
tuyo,of yours
campo,field
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,works
foto,Photo
abogado,attorney
loca,crazy
propio,own
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,pay
mató,he killed
llamo,I call
personal,personal
sientes,you feel
ocurre,occurs
ésta,this
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,had
viste,dresses
oficial,official
llegó,I arrive
compañía,company
relación,relationship
conoce,known
pase,pass
montón,heap
mejores,top
creí,thought
cena,Dinner
sentir,feel
través,through
accidente,accident
i,i
ellas,they
caja,box
tranquilo,quiet
bonito,beautiful
eras,ages
asi,So
pudo,could
vive,lives
vista,view
estúpido,stupid
línea,line
caballeros,gentlemen
haremos,will
dan,give
quédate,stay
tienda,store
comprar,to buy
entendido,it is understood
centro,center
salvo,except
mes,month
joe,joe
sol,Sun
tonto,fool
hambre,hungry
michael,Michael
mesa,table
respuesta,reply
completamente,completely
david,David
carta,letter
totalmente,totally
imposible,impossible
pruebas,tests
novio,boyfriend
normal,normal
gustan,like
frank,frank
pude,I could
charlie,charlie
traje,suit
dirección,direction
siete,seven
dijeron,they said
placer,pleasure
sean,are
tendrá,will have
barco,ship
blanco,White
tom,tom
profesor,professor
servicio,service
muchacho,boy
reunión,meeting
dejado,left
ley,law
quisiera,I would like
hubo,there was
george,george
programa,Program
carrera,career
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautiful
universidad,college
boda,wedding
decirme,tell me
cualquiera,anyone
tengas,you have
hacía,toward
estés,re
sala,room
llevo,I wear
decisión,decision
espere,Wait
don,Don
necesario,necessary
sal,Salt
entra,enters
prisa,rush
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,hear
abuela,grandmother
hicieron,they made
detective,detective
horrible,horrible
suelo,floor
fotos,Photos
cárcel,jail
acá,here
io,io
mike,mike
siéntate,Sit down
decía,He said
intentando,trying
vámonos,Let's go
maldición,damn
silencio,silence
muerta,dead
capaz,able
salió,he left
club,club
terminar,end up
temo,fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,half
terrible,terrible
llamó,I call
regalo,present
amable,nice
dulce,sweet
muertos,dead
querías,wanted
ataque,attack
das,you give
navidad,Christmas
negocios,business
pudiera,could
ocho,eight
avión,plane
investigación,investigation
acabó,finished
juro,I swear
mantener,keep
ejército,army
papel,paper
partes,parts
ten,ten
gracioso,funny
diría,would say
principio,beginning
delante,in front
teniente,lieutenant
deseo,wish
vayas,go
nave,ship
sale,comes out
basura,garbage
vine,came
contacto,Contact
esposo,husband
tren,train
encontramos,we find
dale,Go ahead
verdadero,true
tuya,yours
alma,soul
hazlo,do it
disculpa,Sorry
junto,together
anda,anda
tendré,I will have
matrimonio,marriage
saberlo,I know
locura,madness
oro,gold
permiso,Excuse me
director,director
peligro,danger
libertad,freedom
alegro,glad
baja,low
tendremos,we will have
derecha,right
encuentra,find
pies,feet
segunda,second
maravilloso,wonderful
espacio,space
rato,little while
abuelo,grandfather
esperaba,I expected
mirando,looking
salud,Health
sorpresa,surprise
ninguno,none
miren,look
triste,sad
aun,yet
pensado,thought-out
maestro,teacher
según,according
infierno,hell
podrían,could
tipos,types
tía,aunt
crimen,crime
conocido,known
consejo,advice
ante,before
iglesia,church
intento,tried
mayoría,most
doy,I give
peter,peter
hicimos,we did
escena,scene
piso,floor
señal,signal
honor,honor
llamas,calls
abre,opens
cerebro,brain
veras,you'll see
viendo,seeing
pone,places
pregunto,I ask
cocina,kitchen
vestido,dress
inteligente,smart
vieja,old woman
caballo,horse
vienen,they come
vidas,lifes
bar,Pub
corte,cut
sucedió,it happened
adentro,indoors
drogas,drugs
enseguida,right away
busca,search
agradable,nice
carne,meat
parecía,looked like
departamento,Department
lindo,cute
mar,sea
duda,doubt
edificio,building
conocer,know
cargo,position
víctima,victim
luna,Moon
energía,Energy
frío,cold
hablo,I speak
baile,dance
trabaja,working
misión,mission
listos,ready
ayudarte,help you
izquierda,left
paul,paul
beber,to drink
deje,leave
finalmente,Finally
simple,simple
daré,I'll give
sabías,You know
puedas,can
puso,put
creía,thought
regresar,to return
llega,arrives
entender,understand
mirar,look
sacar,take
cambiado,changed
trae,brings
hermoso,beautiful
opinión,opinion
verás,you'll see
linda,beautiful
apenas,barely
segundos,seconds
cerveza,beer
harás,you will do
estuviera,was
creen,believe
oír,hear
tendría,would have
cuántos,how many
hablado,spoken
hablamos,We speak
reina,Queen
temprano,early
tema,topic
prisión,prison
porqué,why
vuelva,return
público,public
ocurrió,occurred
veré,I will see
salvar,save
partido,match
bonita,pretty
joder,fuck
causa,cause
caliente,hot
sargento,sergeant
cenar,dinner
compañero,partner
llevó,I wear
banco,Bank
existe,exists
ben,ben
zona,zone
destino,destination
base,base
solía,used to
cliente,client
irse,leave
perra,female dog
james,James
encuentro,meeting
encontró,he found
pelea,Fight
san,saint
norte,north
quise,I wanted
coronel,colonel
apuesto,handsome
peligroso,dangerous
viva,live
max,max
vienes,you come
necesitan,need
té,tea
excepto,except
juicio,judgment
podamos,we can
llave,key
equivocado,wrong
posición,position
trasero,rear
irnos,leave
espalda,back
excelente,Excellent
éxito,success
modos,modes
ventana,window
veamos,let's see
especie,species
teníamos,we had
diferencia,difference
formas,shapes
pedir,ask
últimos,latest
escúchame,listen to me
ejemplo,example
ése,that
radio,radio
lee,read
calma,calm
hogar,home
volveré,I will be back
fondo,background
humano,human
henry,Henry
tí,you
iremos,we'll go
unidos,United
habían,they had
jesús,Jesus
planeta,planet
verme,see me
respecto,respect
regreso,Return
debido,due
seré,I will be
tenían,They had
leer,read
parar,stop
lleno,full
dejé,leave
respeto,respect
debajo,below
harry,harry
escribir,to write
estación,station
pidió,he asked
alta,high
pista,track
estrella,star
enfermo,sick
duele,it hurt
sueños,dreams
veremos,we will see
miles,Thousands
darme,give me
órdenes,orders
ocupado,occupied
sigues,are you still
corre,run
podido,I have
dejes,leave
nivel,level
habéis,have
experiencia,experience
darte,to give you
salida,departure
decirlo,I say
confiar,trust
hacerte,make
necesitaba,needed
hermanos,brothers
zapatos,shoes
color,Colour
vistazo,glance
nena,baby
tratar,try
parecer,seem
juez,judge
próximo,next
paciente,patient
hayas,have
bolsa,bag
arte,art
mary,mary
jugando,Playing
llevas,take
alegra,happy
bailar,dance
diablo,Devil
oí,heard
sepa,know
estarás,you will
sur,south
banda,band
aprender,to learn
precio,price
completo,full
santo,holy
culpable,guilty
ganas,forward
tuvimos,we had
you,you
verla,see it
volvió,went back
libros,books
ojo,eye
serán,will be
cielos,Heavens
matado,killed
azul,blue
diferentes,different
irte,leave
ia,ia
comandante,commander
acción,action
reglas,rules
obra,work
esperanza,hope
cuestión,question
molesta,upset
teniendo,having
bill,bill
informe,report
jimmy,jimmy
río,River
bienvenido,welcome
abrir,open
tocar,play
bob,bob
contar,tell
sigo,I follow
interior,inside
apartamento,apartment
vea,see
estados,state
estáis,you are
preocupa,worries
tomó,I take
principal,principal
empieza,starts
londres,London
empezó,it started
vayan,go
jim,jim
llaman,call
ojalá,hopefully
perdona,forgives
vuelvo,I come back
golpe,knock
quedarme,stay
llamaré,I'll call
acabado,finish
estilo,style
nueve,nine
definitivamente,definitely
quedar,stay
cartas,letters
bomba,bomb
guardia,guard
pistola,gun
probar,try
majestad,majesty
traer,bring
marcha,March
pareces,look
común,common
aquel,that
hacerle,make
vuelo,flight
nota,note
danny,danny
humanos,humans
estaremos,we will be
valor,value
suyo,yours
objetivo,objective
repente,suddenly
debía,should
rojo,Red
bromeando,joking
irá,go to
entrada,entry
doble,double
dejaré,I'll leave
evitar,avoid
máquina,machine
cuello,neck
conocí,I met
tiempos,time
tome,take
nick,nick
animales,animals
alex,alex
acaso,perhaps
tuviera,had
pareja,couple
verano,summer
escuché,I listened
ama,love
serás,you will
mentira,lie
tarjeta,card
hagan,make
perdí,I missed
correr,to run
steve,steve
traído,brought
llegue,I arrived
preparado,prepared
haberlo,I have
tony,tony
usa,uses
intentar,try
ayudarme,help me
flores,flowers
dando,giving
vos,you
opción,option
isla,island
cierra,closes
piel,skin
enemigo,enemy
dejo,left
exacto,exact
imbécil,fool
jóvenes,young boys
pedido,order
larga,long
entiende,understands
justicia,Justice
nuevos,new
obviamente,obviously
despierta,awake
pido,I ask
calor,hot
luces,lights
refiero,I mean
fuimos,we went
batalla,battle
déjalo,leave it alone
intenta,try
sarah,sarah
fantástico,fantastic
brazo,arm
absolutamente,absolutely
llena,full
hacerme,me
salga,out
recordar,remember
escapar,escape
bosque,forest
gay,gay
señores,Sirs
quedan,are
piernas,legs
visita,visit
parís,Paris
usando,using
ganado,won
movimiento,movement
blanca,white
rico,rich
inocente,innocent
pesar,to weigh
absoluto,absolute
vacaciones,holidays
um,um
mismos,same
tomado,taken
habías,had
planes,plans
cine,cinema
toca,plays
brillante,sparkly
confianza,trust
vuestra,your
nombres,Names
especialmente,especially
fbi,fbi
embarazada,pregnant
esperen,expect
pantalones,pants
defensa,defending
terminó,finished
salido,stepped out
estupendo,great
jane,jane
presión,Pressure
inmediatamente,immediately
testigo,witness
deberían,should
olvidado,forgotten
soldados,soldiers
resulta,result
tommy,tommy
depende,It depends
motivo,reason
inglés,English
suya,hers
estudio,study
acabar,finish
sentimientos,feelings
tomando,taking
dieron,they gave
parecen,they look like
llaves,keys
perros,dogs
propósito,purpose
noticia,News
partir,from
vuestro,your
metros,meters
santa,St.
quedarse,stay
clientes,customers
podrá,you can
cuántas,how many
ridículo,ridiculous
damas,ladies
estuviste,you were
tranquila,quiet
operación,operation
come,eat
empresa,company
ayúdame,Help me
laboratorio,laboratory
elección,choice
menudo,often
beso,kiss
copa,Cup
conversación,conversation
brazos,arms
espíritu,spirit
dejas,you let
cansado,tired
interesa,interested
refieres,mean
casado,married
enorme,huge
asuntos,issues
fe,faith
muestra,sample
trampa,trap
ray,ray
billy,billy
memoria,memory
johnny,johnny
contrario,contrary
soldado,soldier
subir,go up
turno,turn
encantaría,love
preocupado,worried
restaurante,restaurant
saliendo,coming out
escrito,written
cálmate,take it easy
bienvenida,welcome
caer,fall out
llevaré,I'll take
leche,milk
estrellas,stars
prefiero,I prefer
red,net
viejos,old
solamente,only
oiga,Listen